--- System Monitoring --- | Time: 2025-09-28 22:59:22 | CPU Usage: 8.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:23 | CPU Usage: 4.8% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:24 | CPU Usage: 8.9% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.40 MB | Received: 12183.09 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:25 | CPU Usage: 10.6% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.41 MB | Received: 12183.10 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:26 | CPU Usage: 26.7% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.41 MB | Received: 12183.10 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:27 | CPU Usage: 8.6% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.41 MB | Received: 12183.10 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:28 | CPU Usage: 4.2% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.42 MB | Received: 12183.10 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:29 | CPU Usage: 6.3% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.42 MB | Received: 12183.10 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:30 | CPU Usage: 6.6% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.42 MB | Received: 12183.10 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
--- System Monitoring --- | Time: 2025-09-28 22:59:31 | CPU Usage: 0.0% | RAM Usage: 42.9% | Memory Bar: [########------------] | Disk Usage: 8.3% | Sent: 629.42 MB | Received: 12183.10 MB | FPS: 1 | Temperature: N/A | Swap Usage: 23.1%
